time,open,high,low,close,Plot,Plot,52 Week High,52 Week Low,VWAP,200 MA,100 MA,20 EMA,Volume,Volume MA,RSI
1382103000,173.86,174.50999,173.50999,174.388,NaN,NaN,NaN,NaN,174.1359933,161.0098555,166.7251806,169.9568779,138315680,130190900.8,65.51189582
1382362200,174.45,174.75,174.00999,174.39999,NaN,NaN,NaN,NaN,174.38666,161.1500055,166.8108805,170.3800314,104103568,130165257.6,65.53850077
1382448600,174.91,175.92999,174.42619,175.41,NaN,NaN,NaN,NaN,175.2553933,161.297208,166.9305304,170.859076,126663248,131181769.6,67.7924395
1382535000,174.81,174.89,173.96001,174.57001,NaN,NaN,NaN,NaN,174.47334,161.44231,167.0327304,171.2124983,105484368,130590663.2,64.04099002
1382621400,174.92,175.37,174.50999,175.14999,NaN,NaN,NaN,NaN,175.0099933,161.5884599,167.1486303,171.5874975,70350432,130250840.8,65.46213037
1382707800,175.50999,176,175.17,175.95,NaN,NaN,NaN,NaN,175.7066667,161.7328099,167.2954103,172.002974,93625056,129975009.6,67.37733742
1382967000,175.89,176.47,175.7,176.23,NaN,NaN,NaN,NaN,176.1333333,161.8786099,167.4304103,172.4055479,84979018,127027091.7,68.04522482
1383053400,176.63,177.24,176.38,177.17,NaN,NaN,NaN,NaN,176.93,162.0296099,167.5541103,172.8593052,87401344,125039137.3,70.24745387
1383139800,177.38,177.51,175.66,176.29,NaN,NaN,NaN,NaN,176.4866667,162.1757098,167.6690103,173.186038,140001834,126371741.8,65.6836841
1383226200,176.15,176.89,175.53,175.79,NaN,NaN,NaN,NaN,176.07,162.3194098,167.7959302,173.4340344,133795417,124226591.1,63.17241843
1383312600,176.02,176.61,175.22,176.21,NaN,NaN,NaN,NaN,176.0133333,162.4604598,167.9405302,173.6984121,142805050,126522925.2,64.40355369
1383575400,176.69,176.9,175.9825,176.83,NaN,NaN,NaN,NaN,176.5708333,162.6029598,168.0667301,173.9966586,85676773,125992007.8,66.19985118
1383661800,176.14,176.75,175.57,176.27,NaN,NaN,NaN,NaN,176.1966667,162.7386598,168.1976801,174.2131673,85824778,121382499.5,63.10244046
1383748200,177.03,177.5,176.54,177.17,NaN,NaN,NaN,NaN,177.07,162.8776598,168.3249801,174.4947704,87347728,117301245.1,65.86658465
1383834600,177.5,177.64,174.76,174.93,NaN,NaN,NaN,NaN,175.7766667,163.0052598,168.4169301,174.5362208,157000422,115353528.6,54.85247338
1383921000,174.87,177.31,174.85,177.29,NaN,NaN,NaN,NaN,176.4833333,163.1404598,168.5553301,174.7984855,136712623,116937172.6,62.05224988
1384180200,177.12,177.53,176.91,177.32,NaN,NaN,NaN,NaN,177.2533333,163.2767098,168.7345302,175.0386297,62614326,114462570.5,62.13491417
1384266600,176.94,177.36,176.37,176.96,NaN,NaN,NaN,NaN,176.8966667,163.4082098,168.9134301,175.2216174,83989617,110887826.5,60.43363133
1384353000,176.09,178.4261,176.09,178.38,NaN,NaN,NaN,NaN,177.6320333,163.5497597,169.1266301,175.5224157,103844266,107996236.6,64.5560616
1384439400,178.54,179.42,178.25,179.27,NaN,NaN,NaN,NaN,178.98,163.6976097,169.3335801,175.8793285,103435238,106698539.3,66.88490095
1384525800,179.56,180.12,179.33,180.05,NaN,NaN,NaN,NaN,179.8333333,163.8416597,169.5326801,176.2765353,102818190,104923664.8,68.81857301
1384785000,180.35,180.5,179.02,179.42,NaN,NaN,NaN,NaN,179.6466667,163.9910847,169.7160801,176.5759129,104796009,104958286.9,65.49215608
1384871400,179.33,179.87,178.72,179.03,NaN,NaN,NaN,NaN,179.2066667,164.1309847,169.9021801,176.8096355,93891416,103319695.3,63.44761856
