,Unnamed: 0,date,open,high,low,close,200_ma,20_ema,100_ma,volume,volume_ma,rsi,relative_vol,atr,prev_close,$_change,ov_ni_%_change,day_o_c_delta%,hofd_o_delta%,lofd_o_delta%,hofd_lofd_delta%
3,202,2009-08-26 13:30:00,3.875794,3.963294,3.834953,3.911628,2.6578784950000003,3.6291740618643713,2.9134784400000013,104155364,121928585.4,66.73223286707876,0.8542325301184048,0.16101120798646246,3.906628,-0.03083399999999958,-0.7892740235312803,0.9245589419871109,2.257601926211762,-1.0537453744961653,3.3466120706042504
4,203,2009-08-27 13:30:00,3.899127,3.970793,3.767463,3.941295,2.6590643200000006,3.658899865496336,2.930899940000001,116315984,119403907.6,67.6054801052817,0.9741388396572042,0.1715909059898469,3.911628,-0.012501000000000316,-0.31958560476610554,1.081472852769356,1.8380011730831032,-3.3767558738148367,5.39700058102761
7,206,2009-09-01 13:30:00,3.770796,3.919793,3.55413,3.576631,2.6654992550000016,3.687053276907393,2.9794161200000016,173787236,114895359.2,48.51567291021232,1.5125696739194319,0.22400038221446664,3.828295,-0.057498999999999974,-1.5019479951257666,-5.149178051530763,3.951340777915328,-5.745895561573738,10.288396879123725
8,207,2009-09-02 13:30:00,3.5257980000000004,3.600798,3.509965,3.535049,2.6678371550000013,3.672576679106689,2.9911035100000016,89493520,111033163.2,46.85183577055933,0.8060071191414998,0.19070853666085008,3.576631,-0.05083299999999946,-1.4212536881774906,0.2623803178741225,2.1271780175721844,-0.44906146069629205,2.587860562712175
18,217,2009-09-17 13:30:00,4.417455,4.575787999999998,4.337457,4.4066230000000015,2.7407955799999995,3.9696595217744535,3.1668550700000013,133173956,97064659.6,72.98787089682664,1.3720128061933676,0.18871594300392786,4.4341230000000005,-0.016668000000000127,-0.3759029688621656,-0.24520906268425693,3.5842583569045536,-1.8109522338088486,5.494717296332823
24,223,2009-09-25 13:30:00,4.149124,4.218291000000002,4.0724589999999985,4.120792,2.7871580400000004,4.116626042673189,3.2725298900000013,78173652,90193604.4,54.13262533458742,0.8667316548666504,0.1896982791625644,4.179958,-0.030834000000000476,-0.7376629143163752,-0.6828429326286658,1.667026581996633,-1.847739426442813,3.580932306500891
28,227,2009-10-01 13:30:00,4.22079,4.229957,3.925794,3.930878,2.8143215250000013,4.1410800113800965,3.3271035300000014,106565660,84239557.2,44.76230170290742,1.2650311034635875,0.2299665453600301,4.254124,-0.033333999999999975,-0.7835690732099011,-6.868666766174108,0.21718682995362726,-6.9891181508674975,7.747808468809112
32,231,2009-10-07 13:30:00,4.195792,4.269124,4.172467,4.257457,2.8362088200000004,4.133869598207874,3.386719610000001,79050548,84906127.6,56.44196225768247,0.931034664216626,0.18590068036782187,4.225792,-0.03000000000000025,-0.7099260919609921,1.4696867718895417,1.7477510801297997,-0.5559141158570258,2.3165431865608417
34,233,2009-10-09 13:30:00,4.364123,4.440788,4.33329,4.438288,2.852991985,4.182702256129348,3.419585940000001,46450412,82897887.2,61.71472464279446,0.5603328814392268,0.16409957020690005,4.364123,0.0,0.0,1.6994250620342235,1.7567103401989403,-0.7065107926609844,2.4807478844019335
36,235,2009-10-13 13:30:00,4.457456,4.489955,4.379123,4.464955000000002,2.87041264,4.2367050214573565,3.4562855700000013,60476296,78546704.2,61.788667129620066,0.7699405928734053,0.14345150824138145,4.497455,-0.039999000000000784,-0.8893696546157945,0.1682349752863948,0.7290930073118053,-1.7573476889059538,2.5309177202832682
38,237,2009-10-15 13:30:00,4.627454,4.7391190000000005,4.616619999999998,4.734953,2.889133285,4.323356232984368,3.4971518300000013,60450928,74772417.6,68.75072575349964,0.8084656072428505,0.15678478588577702,4.69162,-0.06416599999999928,-1.3676725736525823,2.3230700942678153,2.413098001622498,-0.2341244234951182,2.65343476396156
