,date,open,high,low,close,vwap,volume,volume_ma,rsi,date2,time_of_day
1631,2009-12-04 14:30:00,4.3366233,4.389956099999999,4.30829025,4.34178992,4.346678756666667,28601930,9796206.85,60.54693955282526,2009-12-04,9.5
1632,2009-12-04 15:30:00,4.34495655,4.35162315,4.253290799999999,4.25412413,4.326678873904444,14182863,10214206.85,51.216574761500674,2009-12-04,10.5
1633,2009-12-04 16:30:00,4.25495745,4.25495745,4.1199588,4.19579138,4.2734820125517885,27340809,11384843.8,46.12333507874155,2009-12-04,11.5
1634,2009-12-04 17:30:00,4.1966247,4.239957599999999,4.19495805,4.19745803,4.266992535759703,8097293,11532545.35,46.287686732874434,2009-12-04,12.5
1635,2009-12-04 18:30:00,4.1966247,4.209957900000001,4.12912538,4.15245848,4.25371240738441,11559654,11724854.4,42.516489700752274,2009-12-04,13.5
1636,2009-12-04 19:30:00,4.15412513,4.25162415,4.15412513,4.23579098,4.2475823290619585,16314352,12129472.0,50.551044105313075,2009-12-04,14.5
1637,2009-12-04 20:30:00,4.23245768,4.24912418,4.20162465,4.23495765,4.245874830369481,10468062,11756472.35,50.47506700611984,2009-12-04,15.5
2371,2010-05-10 13:30:00,4.73578598,4.82245178,4.67920321,4.6866198,4.72942493,21705172,12408067.2,51.93222411104696,2010-05-10,8.5
2372,2010-05-10 14:30:00,4.68495315,4.7599524,4.66745333,4.75828575,4.7291568149511525,9813825,12495064.55,54.35873217165707,2010-05-10,9.5
2373,2010-05-10 15:30:00,4.7599524,4.79578538,4.7366193,4.74411923,4.734132321233617,6346800,12568649.15,53.7807827548955,2010-05-10,10.5
2374,2010-05-10 16:30:00,4.74161925,4.7632857,4.639953599999999,4.6932864,4.72687253157878,9807047,12768088.6,51.65838335268736,2010-05-10,11.5
2375,2010-05-10 17:30:00,4.69495305,4.72161945,4.63162035,4.6832864999999995,4.719487839159785,8661407,12754970.8,51.230070603473884,2010-05-10,12.5
2376,2010-05-10 18:30:00,4.68161985,4.72161945,4.65578678,4.699953,4.716296264464129,7540727,12793789.5,51.94520935758794,2010-05-10,13.5
2377,2010-05-10 19:30:00,4.69745303,4.78211885,4.67495325,4.7732856,4.719336136695187,8051431,12482380.0,55.06724995642827,2010-05-10,14.5
2462,2010-05-27 13:30:00,3.94412723,3.99746003,3.89829435,3.99746003,3.9644048033333332,18366191,10382358.15,57.346941965351135,2010-05-27,8.5
